CUE, TARGET, NORMED?, #G, #P, FSG, BSG, MSG, OSG, #M, MMIAS, #O, OMIAS, QSS, QFR, QCON, QH, QPS, QMC, QPR, QRSG, QUC, TSS, TFR, TCON, TH, TPS, TMC, TPR, TRSG, TUC
CAB, TAXI, YES, 127, 49, .386, .537, .0060, .0347, 2, 0, 4.0, 3, 9, 12, 6.32, , N, 2.00, .33, .210, 1, 7, 16, 6.28, G, N, 1.67, .33, .211, 1
CAB, YELLOW, YES, 127, 17, .134, .014, .0370, 0.0000, 1, 0, 0.0, 0, 9, 12, 6.32, , N, 2.00, .33, .210, 1, 20, 55, 5.18, N, N, 2.21, .58, .043, 1
CAB, DRIVER, YES, 127, 14, .110, 0.000, .0400, .0510, 2, 0, 3.0, 1, 9, 12, 6.32, , N, 2.00, .33, .210, 1, 16, 79, ¥, G, N, 1.88, .44, .047, 1
CAB, CAR, YES, 127, 11, .087, 0.000, .1060, .0014, 4, 0, 3.0, 1, 9, 12, 6.32, , N, 2.00, .33, .210, 1, 25, 274, 6.35, , N, 2.50, .91, .259, 1
CAB, NEW YORK, YES, 127, 9, .071, 0.000, .0020, .0092, 1, 0, 1.0, 0, 9, 12, 6.32, , N, 2.00, .33, .210, 1, 15, 1, ¥, , N, 1.17, .17, .027, 0
CAB, BUS, YES, 127, 5, .039, .016, .0040, .0477, 2, 0, 5.0, 3, 9, 12, 6.32, , N, 2.00, .33, .210, 1, 17, 34, 6.53, , N, 2.00, .38, .020, 1
CAB, CITY, YES, 127, 3, .024, 0.000, .0280, .0047, 2, 0, 1.0, 0, 9, 12, 6.32, , N, 2.00, .33, .210, 1, 18, 393, 5.41, , N, 1.19, .63, .224, 1
CAB, MONEY, YES, 127, 3, .024, 0.000, .0010, 0.0000, 1, 0, 0.0, 0, 9, 12, 6.32, , N, 2.00, .33, .210, 1, 19, 265, 5.77, , N, 1.39, .89, .312, 1
CAB, RIDE, YES, 127, 3, .024, 0.000, .0090, .0138, 3, 0, 1.0, 0, 9, 12, 6.32, , N, 2.00, .33, .210, 1, 14, 49, 4.14, , V, 1.50, .33, .113, 1
CABBAGE, LETTUCE, YES, 139, 39, .281, .021, .0090, .0139, 2, 0, 6.0, 5, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 11, 0, 5.67, , N, 2.45, .27, .105, 1
CABBAGE, VEGETABLE, YES, 139, 19, .137, 0.000, 0.0000, .0117, 0, 0, 4.0, 4, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 14, 10, 6.76, , N, 2.23, .39, .019, 1
CABBAGE, PATCH, YES, 139, 16, .115, .066, 0.0000, 0.0000, 0, 0, 0.0, 0, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 21, 13, ¥, , N, .63, .26, .010, 1
CABBAGE, GREEN, YES, 139, 11, .079, 0.000, .0350, .0018, 5, 0, 2.0, 0, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 17, 116, 5.46, N, N, 1.19, .94, .142, 1
CABBAGE, COLESLAW, YES, 139, 6, .043, .124, 0.0000, .0182, 0, 0, 5.0, 5, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 21, 0, ¥, , N, 2.42, .05, .005, 1
CABBAGE, CORNBEEF, YES, 139, 5, .036, .167, 0.0000, .0035, 0, 0, 1.0, 1, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 11, 0, ¥, , N, 2.00, .11, .006, 0
CABBAGE, LEAF, YES, 139, 4, .029, 0.000, .0060, .0033, 2, 0, 1.0, 0, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 10, 12, 5.89, N, N, 2.30, .60, .110, 1
CABBAGE, RABBIT, YES, 139, 4, .029, 0.000, .0080, .0013, 1, 0, 2.0, 2, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 27, 11, 6.04, , N, 1.46, .38, .106, 1
CABBAGE, RED, YES, 139, 4, .029, 0.000, .0030, .0037, 2, 0, 2.0, 0, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 14, 197, 4.97, , N, 2.31, .85, .079, 1
CABBAGE, FOOD, YES, 139, 3, .022, 0.000, .0250, 0.0000, 8, 0, 0.0, 0, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 18, 147, 5.84, , N, 1.69, .63, .203, 1
CABBAGE, HEAD, YES, 139, 3, .022, 0.000, .0230, 0.0000, 1, 0, 0.0, 0, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 15, 424, 5.98, N, N, .87, .60, .079, 1
CABBAGE, SALAD, YES, 139, 3, .022, 0.000, .0850, .0894, 4, 0, 3.0, 2, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 15, 9, 6.83, , N, 1.73, .47, .176, 1
CABBAGE, SOUP, YES, 139, 2, .014, 0.000, .0030, .0012, 1, 0, 2.0, 2, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 25, 16, 6.11, , N, 2.38, .54, .059, 1
CABBAGE, WHITE, YES, 139, 2, .014, 0.000, .0060, .0005, 3, 0, 1.0, 0, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 8, 365, 4.68, , N, .88, .88, .390, 1
CABBAGE, YUCK, YES, 139, 2, .014, 0.000, .0010, .0005, 1, 0, 1.0, 1, 15, 4, 6.07, , N, 2.00, .27, .025, 1, 15, 0, ¥, , I, 2.07, .43, .019, 1
CABIN, LOG, YES, 147, 61, .415, .109, .0010, .0075, 1, 1, 1.0, 0, 9, 23, 6.96, , N, .88, .50, .050, 1, 9, 11, 6.86, N, N, 1.33, .44, .059, 1
CABIN, HOUSE, YES, 147, 25, .170, 0.000, .0080, 0.0000, 2, 1, 0.0, 0, 9, 23, 6.96, , N, .88, .50, .050, 1, 13, 591, 6.21, , N, 1.00, .85, .223, 1
CABIN, WOODS, YES, 147, 21, .143, .026, .0010, .0009, 2, 1, 1.0, 1, 9, 23, 6.96, , N, .88, .50, .050, 1, 14, 25, 6.87, , N, 1.36, .29, .028, 1
CABIN, MOUNTAIN, YES, 147, 5, .034, 0.000, .0040, 0.0000, 1, 1, 0.0, 0, 9, 23, 6.96, , N, .88, .50, .050, 1, 17, 33, 6.25, , N, 1.29, .50, .169, 1
CABIN, WOOD, YES, 147, 4, .027, 0.000, .1160, .0165, 1, 1, 2.0, 1, 9, 23, 6.96, , N, .88, .50, .050, 1, 26, 55, 5.81, , N, 1.73, .50, .029, 1
CABIN, CAMP, YES, 147, 3, .020, .020, 0.0000, .0037, 0, 1, 1.0, 1, 9, 23, 6.96, , N, .88, .50, .050, 1, 19, 75, 5.69, , N, .83, .17, .059, 1
CABIN, COTTAGE, YES, 147, 3, .020, .016, 0.0000, .0705, 0, 1, 2.0, 2, 9, 23, 6.96, , N, .88, .50, .050, 1, 11, 19, 5.93, , N, 1.33, .22, .001, 1
CABIN, CRUISER, NO, 147, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 9, 23, 6.96, , N, .88, .50, .050, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CABIN, SHIP, YES, 147, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 9, 23, 6.96, , N, .88, .50, .050, 1, 9, 83, 6.25, N, N, 2.22, .44, .085, 1
CABINET, KITCHEN, YES, 145, 22, .152, .020, .0070, .0064, 3, 0, 3.0, 2, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 22, 90, 6.63, , N, 2.00, .40, .021, 1
CABINET, DOOR, YES, 145, 14, .097, 0.000, .0050, .0009, 2, 0, 1.0, 1, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 23, 312, 5.95, , N, 1.27, .68, .181, 1
CABINET, SHELF, YES, 145, 13, .090, .086, .0020, .0144, 2, 0, 9.0, 7, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 19, 12, ¥, , N, 2.12, .18, .009, 1
CABINET, WOOD, YES, 145, 12, .083, 0.000, .0060, 0.0000, 4, 0, 0.0, 0, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 26, 55, 5.81, , N, 1.73, .50, .029, 1
CABINET, DRAWER, YES, 145, 10, .069, .024, .0020, .0037, 3, 0, 3.0, 2, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 9, 8, 6.31, , N, 1.78, .56, .140, 1
CABINET, MAKER, YES, 145, 9, .062, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 17, 12, 4.46, , N, .92, .15, .001, 0
CABINET, CUPBOARD, YES, 145, 7, .048, .151, .0020, .0218, 1, 0, 7.0, 6, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 15, 2, 5.82, , N, 2.00, .17, .008, 1
CABINET, DISHES, YES, 145, 6, .041, 0.000, .0050, .0029, 1, 0, 2.0, 2, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 19, 21, ¥, G, N, 2.22, .17, .037, 1
CABINET, STORAGE, YES, 145, 6, .041, 0.000, .0040, .0019, 4, 0, 1.0, 0, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 21, 41, 4.88, , N, 1.65, .35, .026, 1
CABINET, CLOSET, YES, 145, 4, .028, 0.000, .0080, .0107, 4, 0, 3.0, 1, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 14, 16, 5.95, , N, 1.38, .31, .009, 1
CABINET, FOOD, YES, 145, 4, .028, 0.000, .0360, 0.0000, 5, 0, 0.0, 0, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 18, 147, 5.84, , N, 1.69, .63, .203, 1
CABINET, COUNTER, YES, 145, 3, .021, 0.000, .0050, .0246, 2, 0, 3.0, 1, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 17, 31, ¥, T, N, 1.00, .20, .004, 1
CABINET, DESK, YES, 145, 3, .021, 0.000, .0110, .0014, 4, 0, 2.0, 2, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 18, 65, 5.79, , N, 3.17, .33, .013, 1
CABINET, FILE, YES, 145, 3, .021, .245, 0.0000, .0013, 0, 0, 2.0, 2, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 16, 81, 4.63, N, N, 1.19, .31, .014, 1
CABINET, PLATE, YES, 145, 3, .021, 0.000, 0.0000, .0061, 0, 0, 1.0, 1, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 12, 22, 5.74, , N, 3.42, .42, .079, 1
CABINET, BOOK, YES, 145, 2, .014, 0.000, .0330, 0.0000, 2, 0, 0.0, 0, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 15, 193, 6.09, , N, 1.57, .71, .237, 1
CABLE, TELEVISION, YES, 148, 102, .689, .014, 0.0000, 0.0000, 1, 1, 0.0, 0, 8, 7, 5.40, N, N, .71, .14, .010, 1, 19, 50, 6.40, , N, 1.41, .82, .067, 1
CABLE, WIRE, YES, 148, 13, .088, 0.000, .0020, .0012, 1, 1, 1.0, 0, 8, 7, 5.40, N, N, .71, .14, .010, 1, 20, 42, 5.81, , N, .63, .42, .012, 1
CABLE, CAR, YES, 148, 5, .034, 0.000, 0.0000, 0.0000, 1, 1, 0.0, 0, 8, 7, 5.40, N, N, .71, .14, .010, 1, 25, 274, 6.35, , N, 2.50, .91, .259, 1
CABLE, CORD, YES, 148, 5, .034, 0.000, .0030, .0160, 1, 1, 3.0, 2, 8, 7, 5.40, N, N, .71, .14, .010, 1, 13, 6, 6.93, N, N, 1.31, .39, .029, 1
CABLE, BOX, YES, 148, 2, .014, 0.000, 0.0000, .0011, 0, 1, 1.0, 1, 8, 7, 5.40, N, N, .71, .14, .010, 1, 15, 70, 5.91, N, N, .73, .67, .080, 1
CABLE, HBO, NO, 148, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 8, 7, 5.40, N, N, .71, .14, .010, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CABLE, ROPE, YES, 148, 2, .014, 0.000, .0030, 0.0000, 1, 1, 0.0, 0, 8, 7, 5.40, N, N, .71, .14, .010, 1, 21, 15, 6.36, G, N, 1.05, .58, .068, 1
CABLE, UNIT, YES, 148, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 8, 7, 5.40, N, N, .71, .14, .010, 1, 22, 103, 4.33, , N, 1.55, .05, .001, 1
CABOOSE, TRAIN, YES, 165, 119, .721, .051, .0040, .0020, 2, 0, 2.0, 0, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 19, 82, 5.79, N, N, 2.06, .56, .148, 1
CABOOSE, END, YES, 165, 14, .085, 0.000, .0030, 0.0000, 2, 0, 0.0, 0, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 8, 410, 3.16, G, N, 1.43, .57, .293, 1
CABOOSE, ENGINE, YES, 165, 8, .048, 0.000, .0140, .0694, 2, 0, 3.0, 1, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 16, 50, 5.88, , N, 1.21, .50, .026, 1
CABOOSE, CAR, YES, 165, 3, .018, 0.000, .0590, .0085, 2, 0, 2.0, 0, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 25, 274, 6.35, , N, 2.50, .91, .259, 1
CABOOSE, TAIL, YES, 165, 3, .018, 0.000, 0.0000, .0116, 0, 0, 1.0, 1, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 17, 24, 6.09, G, N, 1.24, .18, .040, 1
CABOOSE, INDIAN, YES, 165, 2, .012, 0.000, 0.0000, .0017, 0, 0, 1.0, 1, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 17, 52, 6.18, , N, .36, .50, .118, 1
CABOOSE, LAST, YES, 165, 2, .012, 0.000, 0.0000, .0060, 0, 0, 1.0, 1, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 8, 676, 2.79, , AJ, .62, .50, .273, 1
CABOOSE, RED, YES, 165, 2, .012, 0.000, .0030, 0.0000, 2, 0, 0.0, 0, 8, 0, 6.00, , N, 1.25, .13, .037, 1, 14, 197, 4.97, , N, 2.31, .85, .079, 1
CACTUS, PLANT, YES, 140, 45, .321, 0.000, .0020, .0063, 2, 1, 2.0, 1, 15, 0, ¥, , N, 1.29, .14, .029, 1, 14, 125, 5.98, T, N, 1.86, .57, .041, 1
CACTUS, PRICKLY, YES, 140, 27, .193, .137, 0.0000, .0047, 0, 1, 4.0, 4, 15, 0, ¥, , N, 1.29, .14, .029, 1, 18, 2, ¥, , AJ, 1.82, .12, .036, 1
CACTUS, DESERT, YES, 140, 19, .136, .022, 0.0000, .0011, 0, 1, 1.0, 1, 15, 0, ¥, , N, 1.29, .14, .029, 1, 8, 21, 5.90, N, N, .86, .43, .013, 1
CACTUS, SHARP, YES, 140, 8, .057, 0.000, .0120, .0057, 4, 1, 2.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 18, 72, 4.12, N, AJ, 2.24, .59, .108, 1
CACTUS, SPINE, YES, 140, 6, .043, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 10, 6, 6.22, , N, 1.11, .33, .057, 0
CACTUS, THORN, YES, 140, 6, .043, 0.000, .0110, .0100, 1, 1, 4.0, 4, 15, 0, ¥, , N, 1.29, .14, .029, 1, 16, 3, 6.87, , N, 1.60, .13, .027, 1
CACTUS, FLOWER, YES, 140, 3, .021, 0.000, .0410, .0196, 1, 1, 1.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 21, 23, 5.62, G, N, 1.62, .67, .265, 1
CACTUS, HOT, YES, 140, 3, .021, 0.000, .0070, 0.0000, 1, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 8, 130, 5.03, G, AJ, 1.12, .88, .301, 1
CACTUS, NEEDLE, YES, 140, 3, .021, 0.000, .0060, .0019, 4, 1, 2.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 8, 15, 5.79, , N, 2.12, .88, .433, 1
CACTUS, OUCH, YES, 140, 3, .021, 0.000, .0040, 0.0000, 1, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 7, 0, 3.23, , I, 2.20, 1.00, .036, 1
CACTUS, POINT, YES, 140, 3, .021, 0.000, .0150, .0126, 3, 1, 2.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 24, 395, 4.54, T, N, 1.70, .52, .072, 1
CACTUS, ARIZONA, NO, 140, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 0, ¥, , N, 1.29, .14, .029, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CACTUS, CLUB, YES, 140, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 22, 145, 4.98, N, N, 1.14, .29, .020, 1
CACTUS, GREEN, YES, 140, 2, .014, 0.000, .0820, 0.0000, 1, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 17, 116, 5.46, N, N, 1.19, .94, .142, 1
CACTUS, JUICE, YES, 140, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 15, 0, ¥, , N, 1.29, .14, .029, 1, 10, 11, 6.00, N, N, 1.80, .30, .159, 1
CAFE, COFFEE, YES, 148, 48, .324, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 13, 78, 6.43, , N, 1.08, .46, .214, 1
CAFE, FOOD, YES, 148, 24, .162, 0.000, .0890, .0169, 7, 3, 2.0, 0, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 18, 147, 5.84, , N, 1.69, .63, .203, 1
CAFE, RESTAURANT, YES, 148, 16, .108, .030, .0070, .0830, 1, 3, 4.0, 3, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 12, 41, 6.83, , N, 2.25, .33, .009, 1
CAFE, DINER, YES, 148, 6, .041, .073, .0020, .0776, 1, 3, 5.0, 4, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 12, 0, ¥, , N, 2.64, .18, .007, 1
CAFE, EAT, YES, 148, 6, .041, 0.000, .0910, .0663, 6, 3, 1.0, 0, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 11, 61, 4.75, , N, 1.20, .70, .181, 1
CAFE, AU LAIT, NO, 148, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 20, 5.64, , N, 1.92, .25, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CAFE, LUNCH, YES, 148, 3, .020, 0.000, .0050, .0412, 4, 3, 4.0, 1, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 17, 33, 5.46, , N, 1.88, .59, .053, 1
CAFE, CAPPUCCINO, NO, 148, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 20, 5.64, , N, 1.92, .25, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CAFE, CORNER, YES, 148, 2, .014, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 22, 134, 6.13, , N, 1.91, .27, .014, 1
CAFE, DINNER, YES, 148, 2, .014, 0.000, .0120, .0208, 3, 3, 3.0, 2, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 5, 91, 5.38, , N, 3.40, .60, .336, 1
CAFE, FRENCH, YES, 148, 2, .014, 0.000, 0.0000, .0031, 0, 3, 1.0, 1, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 17, 139, ¥, , AJ, 1.00, .44, .013, 1
CAFE, HARD ROCK, NO, 148, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 20, 5.64, , N, 1.92, .25, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CAFE, SANDWICH, YES, 148, 2, .014, 0.000, .0010, .0367, 1, 3, 3.0, 2, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 18, 10, 6.37, , N, 2.72, .56, .035, 1
CAFE, SHOP, YES, 148, 2, .014, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 14, 63, 5.00, , N, 1.92, .15, .100, 1
CAFE, SIDEWALK, YES, 148, 2, .014, .021, 0.0000, 0.0000, 0, 3, 0.0, 0, 15, 20, 5.64, , N, 1.92, .25, .007, 1, 16, 26, 5.93, , N, 1.43, .50, .044, 1
CAFETERIA, FOOD, YES, 150, 89, .593, 0.000, .0620, .0124, 6, 1, 2.0, 0, 9, 15, ¥, , N, 2.00, .13, .001, 1, 18, 147, 5.84, , N, 1.69, .63, .203, 1
CAFETERIA, LUNCH, YES, 150, 20, .133, 0.000, .0080, .1241, 3, 1, 3.0, 2, 9, 15, ¥, , N, 2.00, .13, .001, 1, 17, 33, 5.46, , N, 1.88, .59, .053, 1
CAFETERIA, RESTAURANT, YES, 150, 6, .040, 0.000, .0010, .2811, 1, 1, 3.0, 2, 9, 15, ¥, , N, 2.00, .13, .001, 1, 12, 41, 6.83, , N, 2.25, .33, .009, 1
CAFETERIA, EAT, YES, 150, 4, .027, 0.000, .2580, .2425, 4, 1, 1.0, 0, 9, 15, ¥, , N, 2.00, .13, .001, 1, 11, 61, 4.75, , N, 1.20, .70, .181, 1
